id,pair,bid,ask,spread_percentage,timestamp
10,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:40:06.073462Z
14,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:40:05.662984Z
26,USDT_BRL,5.609,5.61,0.017828,2025-06-06T17:35:06.059194Z
30,USDT_BRL,5.609,5.61,0.017828,2025-06-06T17:35:06.010306Z
42,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:30:05.267508Z
46,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:30:05.170957Z
58,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:25:05.688061Z
62,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:25:05.337838Z
74,USDT_BRL,5.605,5.606,0.017841,2025-06-06T17:20:06.092336Z
78,USDT_BRL,5.605,5.606,0.017841,2025-06-06T17:20:05.886046Z
90,USDT_BRL,5.604,5.605,0.017844,2025-06-06T17:15:05.890703Z
94,USDT_BRL,5.604,5.605,0.017844,2025-06-06T17:15:05.099736Z
106,USDT_BRL,5.61,5.611,0.017825,2025-06-06T17:10:05.772093Z
110,USDT_BRL,5.61,5.611,0.017825,2025-06-06T17:10:05.740184Z
122,USDT_BRL,5.615,5.616,0.017809,2025-06-06T17:05:05.985810Z
126,USDT_BRL,5.615,5.616,0.017809,2025-06-06T17:05:05.687950Z
138,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:00:06.452132Z
142,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:00:05.900500Z
154,USDT_BRL,5.612,5.613,0.017819,2025-06-06T16:55:06.482002Z
158,USDT_BRL,5.612,5.613,0.017819,2025-06-06T16:55:06.395951Z
170,USDT_BRL,5.605,5.606,0.017841,2025-06-06T16:50:06.870340Z
174,USDT_BRL,5.605,5.606,0.017841,2025-06-06T16:50:05.324785Z
186,USDT_BRL,5.611,5.612,0.017822,2025-06-06T16:45:06.155056Z
190,USDT_BRL,5.611,5.612,0.017822,2025-06-06T16:45:05.757010Z
202,USDT_BRL,5.611,5.612,0.017822,2025-06-06T16:40:07.746909Z
206,USDT_BRL,5.611,5.612,0.017822,2025-06-06T16:40:06.200006Z
218,USDT_BRL,5.613,5.614,0.017816,2025-06-06T16:35:06.474339Z
222,USDT_BRL,5.613,5.614,0.017816,2025-06-06T16:35:06.283235Z
234,USDT_BRL,5.616,5.617,0.017806,2025-06-06T16:30:06.954163Z
238,USDT_BRL,5.616,5.617,0.017806,2025-06-06T16:30:05.476738Z
250,USDT_BRL,5.616,5.617,0.017806,2025-06-06T16:25:06.493408Z
254,USDT_BRL,5.616,5.617,0.017806,2025-06-06T16:25:05.601009Z
266,USDT_BRL,5.619,5.62,0.017797,2025-06-06T16:20:06.780696Z
270,USDT_BRL,5.619,5.62,0.017797,2025-06-06T16:20:05.792851Z
282,USDT_BRL,5.618,5.619,0.0178,2025-06-06T16:15:06.225105Z
286,USDT_BRL,5.618,5.619,0.0178,2025-06-06T16:15:05.865496Z
298,USDT_BRL,5.621,5.622,0.01779,2025-06-06T16:10:06.847264Z
302,USDT_BRL,5.621,5.622,0.01779,2025-06-06T16:10:05.254903Z
314,USDT_BRL,5.62,5.621,0.017794,2025-06-06T16:05:06.885905Z
318,USDT_BRL,5.62,5.621,0.017794,2025-06-06T16:05:05.603337Z
330,USDT_BRL,5.626,5.627,0.017775,2025-06-06T16:00:07.078838Z
334,USDT_BRL,5.626,5.627,0.017775,2025-06-06T16:00:05.736868Z
346,USDT_BRL,5.624,5.625,0.017781,2025-06-06T15:55:06.497980Z
350,USDT_BRL,5.624,5.625,0.017781,2025-06-06T15:55:05.984097Z
362,USDT_BRL,5.627,5.628,0.017771,2025-06-06T15:50:06.884065Z
366,USDT_BRL,5.627,5.628,0.017771,2025-06-06T15:50:05.357781Z
378,USDT_BRL,5.627,5.628,0.017771,2025-06-06T15:45:07.747205Z
382,USDT_BRL,5.627,5.628,0.017771,2025-06-06T15:45:05.194313Z
394,USDT_BRL,5.627,5.628,0.017771,2025-06-06T15:40:06.083327Z
398,USDT_BRL,5.627,5.628,0.017771,2025-06-06T15:40:05.427909Z
410,USDT_BRL,5.629,5.63,0.017765,2025-06-06T15:35:06.336118Z
414,USDT_BRL,5.629,5.63,0.017765,2025-06-06T15:35:05.683947Z
426,USDT_BRL,5.633,5.634,0.017753,2025-06-06T15:30:07.092846Z
430,USDT_BRL,5.633,5.634,0.017753,2025-06-06T15:30:05.913915Z
442,USDT_BRL,5.633,5.634,0.017753,2025-06-06T15:25:06.750131Z
446,USDT_BRL,5.633,5.634,0.017753,2025-06-06T15:25:05.669814Z
458,USDT_BRL,5.641,5.642,0.017727,2025-06-06T15:20:07.657236Z
462,USDT_BRL,5.641,5.642,0.017727,2025-06-06T15:20:05.684377Z
474,USDT_BRL,5.639,5.64,0.017734,2025-06-06T15:15:06.094752Z
478,USDT_BRL,5.639,5.64,0.017734,2025-06-06T15:15:04.997173Z
490,USDT_BRL,5.642,5.643,0.017724,2025-06-06T15:10:06.010634Z
494,USDT_BRL,5.642,5.643,0.017724,2025-06-06T15:10:05.597313Z
506,USDT_BRL,5.631,5.632,0.017759,2025-06-06T15:05:06.488210Z
510,USDT_BRL,5.631,5.632,0.017759,2025-06-06T15:05:05.173543Z
522,USDT_BRL,5.634,5.635,0.017749,2025-06-06T15:00:07.367103Z
526,USDT_BRL,5.634,5.635,0.017749,2025-06-06T15:00:05.425234Z
538,USDT_BRL,5.635,5.636,0.017746,2025-06-06T14:55:05.880522Z
542,USDT_BRL,5.635,5.636,0.017746,2025-06-06T14:55:05.706162Z
554,USDT_BRL,5.627,5.628,0.017771,2025-06-06T14:50:06.491172Z
558,USDT_BRL,5.627,5.628,0.017771,2025-06-06T14:50:06.173925Z
570,USDT_BRL,5.622,5.623,0.017787,2025-06-06T14:45:06.873464Z
574,USDT_BRL,5.622,5.623,0.017787,2025-06-06T14:45:05.451232Z
586,USDT_BRL,5.62,5.621,0.017794,2025-06-06T14:40:07.176805Z
590,USDT_BRL,5.62,5.621,0.017794,2025-06-06T14:40:05.975749Z
602,USDT_BRL,5.617,5.618,0.017803,2025-06-06T14:35:06.497203Z
606,USDT_BRL,5.617,5.618,0.017803,2025-06-06T14:35:05.403804Z
618,USDT_BRL,5.617,5.618,0.017803,2025-06-06T14:30:06.995203Z
622,USDT_BRL,5.617,5.618,0.017803,2025-06-06T14:30:05.750625Z
634,USDT_BRL,5.62,5.621,0.017794,2025-06-06T14:25:07.071277Z
