id,pair,bid,ask,spread_percentage,timestamp
54819,XRP_MXN,47.608115,47.6624,0.114025,2025-05-15T19:10:28.447995Z
54823,XRP_MXN,47.608115,47.6624,0.114025,2025-05-15T19:10:28.157731Z
54859,XRP_MXN,47.603215,47.6622,0.12391,2025-05-15T19:05:28.709577Z
54863,XRP_MXN,47.614811,47.6622,0.099526,2025-05-15T19:05:28.296295Z
54899,XRP_MXN,47.4307,47.4732,0.089604,2025-05-15T19:00:28.580474Z
54903,XRP_MXN,47.4307,47.4732,0.089604,2025-05-15T19:00:28.137598Z
54939,XRP_MXN,47.47222,47.5369,0.136248,2025-05-15T18:55:28.464507Z
54943,XRP_MXN,47.47222,47.5369,0.136248,2025-05-15T18:55:28.131387Z
54979,XRP_MXN,47.382912,47.4361,0.112251,2025-05-15T18:50:28.583741Z
54983,XRP_MXN,47.3838,47.4361,0.110375,2025-05-15T18:50:28.208919Z
55019,XRP_MXN,47.7483,47.806,0.120842,2025-05-15T18:45:27.893537Z
55023,XRP_MXN,47.7483,47.806,0.120842,2025-05-15T18:45:27.715675Z
55059,XRP_MXN,47.6746,47.75,0.158155,2025-05-15T18:40:28.534349Z
55063,XRP_MXN,47.6746,47.7505,0.159204,2025-05-15T18:40:27.877194Z
55099,XRP_MXN,47.9466,48.0303,0.174569,2025-05-15T18:35:28.550283Z
55103,XRP_MXN,47.946623,48.0304,0.17473,2025-05-15T18:35:27.852375Z
55139,XRP_MXN,47.8648,47.9257,0.127233,2025-05-15T18:30:28.499845Z
55143,XRP_MXN,47.8648,47.9257,0.127233,2025-05-15T18:30:28.231387Z
55179,XRP_MXN,48.000003,48.0321,0.066869,2025-05-15T18:25:28.831360Z
55183,XRP_MXN,48.000003,48.03545,0.073848,2025-05-15T18:25:28.016463Z
55219,XRP_MXN,48.218,48.2672,0.102037,2025-05-15T18:20:28.782351Z
55223,XRP_MXN,48.218,48.2672,0.102037,2025-05-15T18:20:28.039960Z
55259,XRP_MXN,48.3117,48.3408,0.060234,2025-05-15T18:15:28.508376Z
55263,XRP_MXN,48.3117,48.3408,0.060234,2025-05-15T18:15:28.085101Z
55299,XRP_MXN,48.283,48.348,0.134623,2025-05-15T18:10:28.277548Z
55303,XRP_MXN,48.283,48.348,0.134623,2025-05-15T18:10:27.788029Z
55339,XRP_MXN,48.3714,48.430175,0.121508,2025-05-15T18:05:28.199407Z
55343,XRP_MXN,48.3714,48.430175,0.121508,2025-05-15T18:05:27.900249Z
55379,XRP_MXN,48.4284,48.4868,0.12059,2025-05-15T18:00:29.180974Z
55383,XRP_MXN,48.419,48.4867,0.139821,2025-05-15T18:00:27.884830Z
55419,XRP_MXN,48.141309,48.2062,0.134793,2025-05-15T17:55:28.201838Z
